text	start	end	label	
Мошенник наобещал в Кызылорде помощь на 500 тыс тенге.	20	29	city	Кызылорде
В туалет превратили башню монумент стоимостью 336 млн тенге в Кызылорде.	62	71	city	Кызылорде
ВИЧ нашли у 80 летней жительницы Кызылорды.	33	42	city	Кызылорды
Перестрелка в Кызылорде Трое подозреваемых в убийстве парня водворены в ИВС.	14	23	city	Кызылорде
Перестрелка в Кызылорде По факту смерти парня проводится расследование.	14	23	city	Кызылорде
Стрельба в Кызылорде раненный в перестрелке парень скончался в реанимации.	11	20	city	Кызылорде
Перестрелка в Кызылорде один человек ранен, несколько задержаны.	14	23	city	Кызылорде
Полиция нашла пропавшего в Кызылорде молодого официанта.	0	7	ORG	Полиция
В полиции прокомментировали исчезновение официанта в Кызылорде.	2	9	ORG	полиции
Перестрелка в Кызылорде Трое подозреваемых в убийстве парня водворены в ИВС.	72	75	ORG	ИВС
Представители Кызылорды федерации футбола,	14	23	city	Кызылорды
Полеты будут выполняться четыре раза в неделю на самолетах Москва Кызылорда.	66	75	city	Кызылорда
Вторник, пятница, воскресенье: рейс SU 1960 вылетает из Шереметьево в 23:35, прибывает в Кызылорду в 06:10 (на следующий день);	89	98	city	Кызылорду
Четверг: рейс SU 1960 вылетает из Шереметьево в 22:40, прибывает в Кызылорду в 05:10 (на следующий день);	67	76	city	Кызылорду
на линии Кызылорда — Москва:Понедельник, среда, суббота: рейс SU 1961 вылетает из Кызылорды в 07:20, 	9	18	city	Кызылорда
на линии Кызылорда — Москва:Понедельник, среда, суббота: рейс SU 1961 вылетает из Кызылорды в 07:20, 	21	27	city	Москва
на линии Кызылорда — Москва:Понедельник, среда, суббота: рейс SU 1961 вылетает из Кызылорды в 07:20, 	82	91	city	Кызылорды
прибывает в Шереметьево в 08:15;Пятница: рейсSU 1961 вылетает из Кызылорды в 06:20, 	65	74	city	Кызылорды
прибывает в Шереметьево в 07:15.В летнем сезоне 2018 года Аэрофлот увеличил частоту полетов по двум действующим направлениям  в Астану (с 9 до 12 рейсов в неделю) и Актобе (с 4 до 7 рейсов в неделю)..	128	134	city	Астану
С 15 июля текущего года Аэрофлот открывает регулярные рейсы между Москвой и Кызылордой. 	76	86	city	Кызылордой
Полеты будут выполняться четыре раза в неделю на самолетах Airbus A320 и Sukhoi Superjet 100. 				
Об этом сообщает пресс-служба авиакомпании. Полеты будут выполняться по следующему расписанию:на линии Москва Кызылорда:вторник, пятница, воскресенье:рейс SU 1960 вылетает из Шереметьево в 23:35,	110	119	city	Кызылорда
прибывает в Кызылорду в 06:10 (на следующий день);четверг:рейс SU 1960 вылетает из Шереметьево в 22:40, 	12	21	city	Кызылорду
прибывает в Кызылорду в 05:10 (на следующий день);на линии Кызылорда — Москва (указано местное время):	12	21	city	Кызылорду
понедельник, среда, суббота:рейс SU 1961 вылетает из Кызылорды в 07:20, прибывает в Шереметьево в 08:15;пятница:рейс SU 1961 вылетает из Кызылорды в 06:20, 	53	62	city	Кызылорды
прибывает в Шереметьево в 07:15.«Для Аэрофлота рынок Казахстана имеет высокую важность: ведущая российская авиакомпания активно развивает перевозки, увеличивая число рейсов и направлений..	12	23	LOC	Шереметьево
Кызылорде следует быть осторожными в связи с активностью каракуртов, сообщили в областном управлении внутренней политики.	0	9	city	Кызылорде
Ребенок находится в реанимации говорится в сообщении в пятницу.Это не первые укусов каракурта, зарегистрированные в Кызылорде в нынешнем году.«Пять жителей Жанакорган и один человек из района Казалинск уже прошли лечение после укусов паука и выписаны домой..				
Ребенок находится в реанимации говорится в сообщении в пятницу.Это не первые укусов каракурта, зарегистрированные в Кызылорде в нынешнем году.«Пять жителей Жанакорган и один человек из района Казалинск уже прошли лечение после укусов паука и выписаны домой..	156	166	city	Жанакорган
Ребенок находится в реанимации  говорится в сообщении в пятницу.Это не первые укусов каракурта, зарегистрированные в Кызылорде в нынешнем году.«Пять жителей Жанакорган и один человек из района Казалинск уже прошли лечение после укусов паука и выписаны домой..	193	202	city	Казалинск
Из-за жаркой погоды и засухи отмечается 				
Представители Кызылорды федерации футбола,	24	41	ORG	федерации футбола
Вторник, пятница, воскресенье: рейс SU 1960 вылетает из Шереметьево в 23:35, прибывает в Кызылорду в 06:10 (на следующий день);	56	67	LOC	Шереметьево
Четверг: рейс SU 1960 вылетает из Шереметьево в 22:40, прибывает в Кызылорду в 05:10 (на следующий день);	34	45	LOC	Шереметьево
прибывает в Шереметьево в 08:15;Пятница: рейсSU 1961 вылетает из Кызылорды в 06:20, 	12	23	LOC	Шереметьево
прибывает в Шереметьево в 07:15.В летнем сезоне 2018 года Аэрофлот увеличил частоту полетов по двум действующим направлениям в Астану (с 9 до 12 рейсов в неделю) и Актобе (с 4 до 7 рейсов в неделю)..	12	23	LOC	Шереметьево
прибывает в Шереметьево в 07:15.В летнем сезоне 2018 года Аэрофлот увеличил частоту полетов по двум действующим направлениям в Астану (с 9 до 12 рейсов в неделю) и Актобе (с 4 до 7 рейсов в неделю)..	58	66	ORG	Аэрофлот
прибывает в Шереметьево в 07:15.В летнем сезоне 2018 года Аэрофлот увеличил частоту полетов по двум действующим направлениям в Астану (с 9 до 12 рейсов в неделю) и Актобе (с 4 до 7 рейсов в неделю)..	164	170	city	Актобе
С 15 июля текущего года Аэрофлот открывает регулярные рейсы между Москвой и Кызылордой. 	66	73	city	Москвой
Об этом сообщает пресс-служба авиакомпании. Полеты будут выполняться по следующему расписанию:на линии Москва Кызылорда:вторник, пятница, воскресенье:рейс SU 1960 вылетает из Шереметьево в 23:35,	103	109	city	Москва
прибывает в Кызылорду в 05:10 (на следующий день);на линии Кызылорда Москва (указано местное время):	59	68	city	Кызылорда
прибывает в Кызылорду в 05:10 (на следующий день);на линии Кызылорда Москва (указано местное время):	69	75	city	Москва
понедельник, среда, суббота:рейс SU 1961 вылетает из Кызылорды в 07:20, прибывает в Шереметьево в 08:15;пятница:рейс SU 1961 вылетает из Кызылорды в 06:20, 	53	62	city	Кызылорды
понедельник, среда, суббота:рейс SU 1961 вылетает из Кызылорды в 07:20, прибывает в Шереметьево в 08:15;пятница:рейс SU 1961 вылетает из Кызылорды в 06:20, 	84	95	LOC	Шереметьево
прибывает в Шереметьево в 07:15.Для Аэрофлота рынок Казахстана имеет высокую важность: ведущая российская авиакомпания активно развивает перевозки, увеличивая число рейсов и направлений..	36	45	ORG	Аэрофлота
прибывает в Шереметьево в 07:15. Для Аэрофлота рынок Казахстана имеет высокую важность: ведущая российская авиакомпания активно развивает перевозки, увеличивая число рейсов и направлений..	53	63	LOC	Казахстана
Двое взрослых и один ребенок доставлены в медучреждения Кызылорды с укусами этого ядовитого паука. 	56	65	city	Кызылорды
В Кызылорде объявлено штормовое предупреждение.	2	11	city	Кызылорде
Сегодня в Кызылорде ожидается сильная жара. Об этом сообщили в «Казгидпромет». 	10	19	city	Кызылорде
В Кызылорде в ночь на 4 июня от менингита скончался 27-летний мужчина, сообщают сегодня казахстанские новостные агентства со ссылкой на представителей сферы здравоохранения.	2	11	city	Кызылорде
По данным управления здравоохранения Кызылорды, на прошлой неделе у жителя Жанакорган обнаружили менингококковую инфекцию.	37	46	city	Кызылорды
В Кызылорде скончался 27-летний мужчина от менингита, передает корреспондент МИА «Казинформ».	2	11	city	Кызылорде
По данным областного управления здравоохранения, на прошлой неделе у жителя Кызылорда обнаружили инфекцию менингококка. 	76	85	city	Кызылорда
Мужчина 1991 года рождения был в срочном порядке госпитализирован в больницу, начато его лечение в Кызылорде.	99	108	city	Кызылорде
27-летний мужчина умер от менингита в ночь на 4 июня в районной больнице Кызылорды, передает Tengrinews.kz.	73	82	city	Кызылорды
Руководитель детского сада обвинила жительницу Кызылорды в необоснованных жалобах и подала на нее в суд, 	47	56	city	Кызылорды
В Кызылорде увеличилось количество очагов конго-крымской лихорадки	2	11	city	Кызылорде
Кызылорда В регионе Сыра увеличился количество клещей-переносчиков заболевания. 	0	9	city	Кызылорда
По данным облздрава, на прошлой неделе у жителя Жанакорган обнаружили инфекцию менингококка. Мужчину в срочном порядке госпитализировали в районную больницу.	48	58	city	Жанакорган
В Кызылорде завершились соревнования по шахматам среди детей на Кубок страны памяти Аралбая Махамбетова,	2	11	city	Кызылорде
Сегодня в Кызылорде в 14:50 по улице Айтеке би произошла драка между молодыми людьми.	10	19	city	Кызылорде
В Кызылорде специальный отряд быстрого реагирования ДВД области организовал среди личного состава сотрудников.	2	11	city	Кызылорде
погода в кызылорде	9	18	city	кызылорде
кызылорда очень красивый город	0	9	city	кызылорда
очень красиво в кызылорде	16	25	city	кызылорде
посмотреть погоду в кызылорде	20	29	city	кызылорде
